"","StationID","DistanceFromCoastLine","Depth","Temperature","Turbidity","NitrateConcentration","PhosphateConcentration","pH","DissolvedOxygen","ChlorophylConcentration","Area"
"1",1,387.805289369959,25.1131615021066,20.0845976055471,16.5501980582114,29.3263736959672,3.5392631268369,8.07936934469792,3.67895173147341,216.594342507038,"b"
"2",1,412.629175765076,21.2437387883623,15.8290899934359,4.36851776186867,25.7450068201924,2.64113065346101,8.21390896434499,5.31879284241066,245.888001478362,"d"
"3",1,416.286884066059,43.070134776552,16.023870043864,20.0035571147365,21.3106904461235,0.504610585940858,7.99684943764921,3.83299334041546,521.718989474705,"c"
"4",1,428.919986490438,29.8892264565808,16.0911174293898,15.6078110372447,30.6513417019261,2.71125854524337,7.78790055723135,3.16497894578262,348.255909416052,"e"
"5",1,505.24686622715,38.6531852133858,13.5671318828066,12.432752802585,21.4581620374351,0.21578493149246,8.35283710922292,3.93756284111998,392.136095553769,"a"
"6",2,232.843365496034,21.7347863670403,20.1029665715781,33.8299174538077,34.2759207450873,3.44236665205083,8.47505217149206,4.00899396759295,489.382727618505,"c"
"7",2,332.921185790344,16.9016831453109,17.5673688351511,14.0604660787264,29.4233927108806,3.54256786182789,8.40708901892724,2.81204088398512,293.471037081727,"d"
"8",2,361.986216411608,21.0176167038006,14.3984332456101,13.9763023491838,22.231369989069,0.491123073996831,8.05679187466622,2.71859146928403,83.6847288131141,"a"
"9",2,486.937414865565,35.5162601559095,19.6550229679306,11.1358528055406,27.7750290445982,2.12607429749429,7.36399680454385,2.01083552781163,385.901850240841,"e"
"10",2,557.560298761376,25.6584706069011,22.4562175841084,21.6666551836509,32.288277912391,3.77326903418363,8.3322432452283,3.56832844996394,586.453800203065,"b"
"11",3,337.947900087988,19.1862530967106,19.9515562180222,29.2777421089164,29.9896642379875,3.81323330907394,8.98055481091917,4.25917617878747,498.631812312759,"c"
"12",3,345.506239192294,20.8913393081214,19.2868732943846,14.2336159228473,31.280311852502,3.65156810040743,7.96043449861428,3.23553305475091,378.33369358561,"d"
"13",3,369.050445642265,29.7381984536923,16.686793870405,5.29797251545232,20.5437391247993,1.27758776747929,8.30140756228023,4.428174669164,31.7055983593146,"a"
